fac_name,type,admin1_abb,admin2_abb,date_closed,date_opened,lat,long,info,ou3_abb,admin1_name,Date_closed
Jamestown Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-31.12366,26.8074,,EC145,Eastern Cape,NA
Komga Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.57606,27.89576,,EC123,Eastern Cape,NA
Lady Grey Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-30.7128,27.21188,,EC142,Eastern Cape,NA
Maclear Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-31.07593,28.34775,,EC141,Eastern Cape,NA
Madwaleni Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.09584,28.87875,,EC121,Eastern Cape,NA
Madzikane kaZulu Memorial Hospital,District Hospital,EC,DC44,9999-12-31,1994-01-01,-30.90092,28.99562,Alias Mary Theresa Hospital or Mary Terese Hospital,EC442,Eastern Cape,NA
Zitulele Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-32.05055,29.09162,,EC157,Eastern Cape,NA
Willowmore Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-33.30042,23.46757,,EC101,Eastern Cape,NA
Wilhelm Stahl (Middelburg) Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.49173,24.99351,,EC131,Eastern Cape,NA
Victoria Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.77527,26.84678,,EC129,Eastern Cape,NA
Umlamli Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-30.56046,27.47457,,EC142,Eastern Cape,NA
Uitenhage Hospital,District Hospital,EC,NMA,9999-12-31,1994-01-01,-33.74158,25.40679,,NMA_B,Eastern Cape,NA
Martje Venter (Tarkastad) Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-32.00894,26.25884,,EC139,Eastern Cape,NA
Tayler Bequest Hospital (Matatiele),District Hospital,EC,DC44,9999-12-31,1994-01-01,-30.33275,28.80195,,EC441,Eastern Cape,NA
Tafalofefe Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.41022,28.51829,,EC122,Eastern Cape,NA
Sundays Valley (Kirkwood) Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-33.395,25.44001,,EC106,Eastern Cape,NA
Stutterheim Hospital,District Hospital,EC,DC12,9999-12-31,1999-09-01,-32.56883,27.42256,,EC124,Eastern Cape,NA
Steynsburg Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-31.29615,25.81188,,EC145,Eastern Cape,NA
Sterkstroom Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.55316,26.55338,,EC139,Eastern Cape,NA
St Patricks Hospital,District Hospital,EC,DC44,9999-12-31,1994-01-01,-30.8654,29.8516,,EC443,Eastern Cape,NA
St Lucys Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-31.3007,28.6298,,EC156,Eastern Cape,NA
St Francis Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-30.68879,26.69921,,EC145,Eastern Cape,NA
St Barnabas Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-31.56429,29.11617,,EC155,Eastern Cape,NA
SS Gida Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.67458,27.1435,,EC124,Eastern Cape,NA
Sipetu Hospital,District Hospital,EC,DC44,9999-12-31,1994-01-01,-31.09178,29.18731,,EC444,Eastern Cape,NA
Settlers Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-33.30246,26.51464,,EC104,Eastern Cape,NA
SAWAS Memorial (Jansenville) Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-32.94228,24.66203,Gateway? SAWAS = South African Women's Auxillary Services,EC101,Eastern Cape,NA
Port Alfred Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-33.59473,26.88336,,EC105,Eastern Cape,NA
Nompumelelo (Peddie) Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-33.20921,27.13244,,EC126,Eastern Cape,NA
Nessie Knight Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-31.00913,28.68223,,EC156,Eastern Cape,NA
Mount Ayliff Hospital,District Hospital,EC,DC44,9999-12-31,1994-01-01,-30.80522,29.3596,,EC442,Eastern Cape,NA
Molteno Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.3916,26.3555,,EC139,Eastern Cape,NA
Mjanyana Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.83602,28.1038,,EC137,Eastern Cape,NA
Midland Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-32.26081,24.53619,,EC101,Eastern Cape,NA
Nelson Mandela Academic Hospital,National Central Hospital,EC,DC15,9999-12-31,2003-03-01,-31.59068,28.76544,,EC157,Eastern Cape,NA
Life Beacon Bay Hospital,Private Hospital,EC,BUF,9999-12-31,2014-10-01,NA,NA,,BUF_SD,Eastern Cape,NA
Life East London Private Hospital,Private Hospital,EC,BUF,9999-12-31,1994-01-01,-33.01281,27.90029,,BUF_SD,Eastern Cape,NA
Life Hunterscraig Hospital,Private Hospital,EC,NMA,9999-12-31,1994-01-01,-33.9684,25.60949,,NMA_C,Eastern Cape,NA
Life Isivivana Hospital,Private Hospital,EC,DC10,9999-12-31,2014-10-01,NA,NA,,EC108,Eastern Cape,NA
Life Mercantile Hospital,Private Hospital,EC,NMA,9999-12-31,1994-01-01,-33.9309,25.57532,,NMA_C,Eastern Cape,NA
Life St Dominic's Hospital,Private Hospital,EC,BUF,9999-12-31,1994-01-01,-32.99689,27.90728,,BUF_SD,Eastern Cape,NA
Life St George's Hospital,Private Hospital,EC,NMA,9999-12-31,1994-01-01,-33.96615,25.60951,,NMA_C,Eastern Cape,NA
Life St James Hospital,Private Hospital,EC,BUF,9999-12-31,1994-01-01,-32.99933,27.90321,,BUF_SD,Eastern Cape,NA
Life St Mark's Clinic Hospital,Private Hospital,EC,BUF,9999-12-31,1994-01-01,-32.99544,27.90659,Run by a group of private doctors.,BUF_SD,Eastern Cape,NA
Life St Mary's Private Hospital,Private Hospital,EC,DC15,9999-12-31,2013-04-01,-31.58651,28.7815,,EC157,Eastern Cape,NA
NHN Mthatha Sub-Acute Hospital,Private Hospital,EC,DC15,9999-12-31,2014-10-01,NA,NA,,EC157,Eastern Cape,NA
NHN Matatiele Private Hospital,Private Hospital,EC,DC44,9999-12-31,2014-10-01,NA,NA,,EC441,Eastern Cape,NA
NHN East London Eye Hospital,Private Hospital,EC,BUF,9999-12-31,2014-10-01,NA,NA,,BUF_SD,Eastern Cape,NA
NHN Crossmed Mthatha Private Hospital,Private Hospital,EC,DC15,9999-12-31,2014-10-01,NA,NA,,EC157,Eastern Cape,NA
NHN Care Cure Queenstown Sub-Acute Hospital,Private Hospital,EC,DC13,9999-12-31,2014-10-01,NA,NA,,EC139,Eastern Cape,NA
NHN Aurora Rehabilitation Hospital,Private Hospital,EC,NMA,9999-12-31,1994-01-01,-33.96667,25.5602,,NMA_C,Eastern Cape,NA
Netcare Greenacres Hospital,Private Hospital,EC,NMA,9999-12-31,1994-01-01,-33.94827,25.58397,,NMA_C,Eastern Cape,NA
Netcare Cuyler Hospital,Private Hospital,EC,NMA,9999-12-31,1998-01-01,-33.96624,25.61705,,NMA_B,Eastern Cape,NA
Frere Hospital,Provincial Tertiary Hospital,EC,BUF,9999-12-31,1994-01-01,-32.99599,27.89156,,BUF_SD,Eastern Cape,NA
Livingstone Hospital,Provincial Tertiary Hospital,EC,NMA,9999-12-31,1994-01-01,-33.92519,25.57074,,NMA_C,Eastern Cape,NA
Port Elizabeth Provincial Hospital,Provincial Tertiary Hospital,EC,NMA,9999-12-31,1994-01-01,-33.95843,25.59982,,NMA_C,Eastern Cape,NA
Cecilia Makiwane Hospital,Regional Hospital,EC,BUF,9999-12-31,1994-01-01,-32.92785,27.74422,,BUF_SD,Eastern Cape,NA
Dora Nginza Hospital,Regional Hospital,EC,NMA,9999-12-31,1994-01-01,-33.8756,25.55919,,NMA_A,Eastern Cape,NA
Frontier Hospital,Regional Hospital,EC,DC13,9999-12-31,1994-01-01,-31.88968,26.87283,,EC139,Eastern Cape,NA
St Elizabeths Hospital,Regional Hospital,EC,DC15,9999-12-31,1994-01-01,-31.3598,29.5653,,EC153,Eastern Cape,NA
Mthatha General Hospital,Regional Hospital,EC,DC15,9999-12-31,1994-01-01,-31.5903,28.76593,,EC157,Eastern Cape,NA
Newhaven Hospital,Specialised Chronic Hospital,EC,BUF,9999-12-31,1994-01-01,-32.98286,27.90592,,BUF_SD,Eastern Cape,NA
Bedford Orthopaedic Hospital (Mthatha),Specialised Orthopaedic Hospital,EC,DC15,9999-12-31,1994-01-01,-31.57604,28.70717,,EC157,Eastern Cape,NA
Elizabeth Donkin Hospital,Specialised Psychiatric Hospital,EC,NMA,9999-12-31,1994-01-01,-33.97977,25.62671,,NMA_C,Eastern Cape,NA
Fort England Hospital,Specialised Psychiatric Hospital,EC,DC10,9999-12-31,1994-01-01,-33.31561,26.54361,,EC104,Eastern Cape,NA
Komani Hospital,Specialised Psychiatric Hospital,EC,DC13,9999-12-31,1994-01-01,-31.92184,26.90888,,EC139,Eastern Cape,NA
Tower Hospital,Specialised Psychiatric Hospital,EC,DC12,9999-12-31,1994-01-01,-32.77024,26.63678,,EC129,Eastern Cape,NA
Empilweni TB Hospital,Specialised TB Hospital,EC,NMA,9999-12-31,1994-01-01,-33.90868,25.58545,,NMA_C,Eastern Cape,NA
Jose Pearson TB Hospital,Specialised TB Hospital,EC,NMA,9999-12-31,1994-01-01,-33.89215,25.46938,Previously a SANTA centre,NMA_B,Eastern Cape,NA
Khotsong TB Hospital,Specialised TB Hospital,EC,DC44,9999-12-31,1994-01-01,-30.34818,28.82118,,EC441,Eastern Cape,NA
Winterberg TB Hospital,Specialised TB Hospital,EC,DC12,9999-12-31,1994-01-01,-32.77916,26.65807,Previously a SANTA centre,EC129,Eastern Cape,NA
Margery Parkes TB Hospital,Specialised TB Hospital,EC,DC10,9999-12-31,1994-01-01,-32.267,24.55619,Previously Margery Parkes SANTA Hospital,EC101,Eastern Cape,NA
Marjorie Parrish TB Hospital,Specialised TB Hospital,EC,DC10,9999-12-31,1994-01-01,-33.56243,26.88126,Previously a SANTA centre,EC105,Eastern Cape,NA
Temba TB Hospital,Specialised TB Hospital,EC,DC10,9999-12-31,1994-01-01,-33.30693,26.54657,Previously a SANTA centre,EC104,Eastern Cape,NA
PZ Meyer Hospital,Specialised TB Hospital,EC,DC10,9999-12-31,1994-01-01,-34.02253,24.75869,,EC108,Eastern Cape,NA
Orsmond TB Hospital,Specialised TB Hospital,EC,NMA,9999-12-31,1994-01-01,-33.74748,25.38002,Previously a SANTA centre,NMA_B,Eastern Cape,NA
Nkqubela Hospital,Specialised TB Hospital,EC,BUF,9999-12-31,1994-01-01,-32.93284,27.74088,"600 TB beds, 100 psychiatric beds. Fort Grey TB Hospital was merged with Nkqubela TB hospital in March 2016 and beds increased to 270 until the Paediatric ward opens at which time beds will be 320.",BUF_SD,Eastern Cape,NA
Winburg Hospital,District Hospital,FS,DC18,9999-12-31,1994-01-01,-28.5098,27.00802,,FS181,Free State,NA
Tokollo Hospital,District Hospital,FS,DC20,9999-12-31,1994-01-01,-27.289180000000002,27.96168,,FS203,Free State,NA
Thusanong Hospital,District Hospital,FS,DC18,9999-12-31,1994-01-01,-27.87735,26.65922,,FS184,Free State,NA
Thebe Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-28.27227,29.13805,,FS194,Free State,NA
Stoffel Coetzee Hospital,District Hospital,FS,DC16,9999-12-31,1994-01-01,-30.21773,26.52442,Previously Smithfield Hosp,FS163,Free State,NA
Senorita Ntlabathi Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-29.20298,27.44807,Previously Mantsopa Hospital,FS196,Free State,NA
Phuthuloha Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-28.88137,27.87202,,FS191,Free State,NA
Phumelela Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-27.43353,29.15583,,FS195,Free State,NA
Phekolong Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-28.21768,28.32645,,FS192,Free State,NA
Parys Hospital,District Hospital,FS,DC20,9999-12-31,1994-01-01,-26.89593,27.47207,,FS203,Free State,NA
Nketoana Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-27.80288,28.41893,,FS193,Free State,NA
National District Hospital,District Hospital,FS,MAN,9999-12-31,1994-01-01,-29.12708,26.2064,,MAN_Bloem,Free State,NA
Nala Hospital,District Hospital,FS,DC18,9999-12-31,1994-01-01,-27.39465,26.61783,,FS185,Free State,NA
Mohau Hospital,District Hospital,FS,DC18,9999-12-31,1994-01-01,-27.83235,25.91538,,FS183,Free State,NA
Matlakeng Hospital,District Hospital,FS,DC16,9999-12-31,1994-01-01,-30.2941,27.09824,Closed?,FS163,Free State,NA
Mafube Hospital,District Hospital,FS,DC20,9999-12-31,1994-01-01,-27.27887,28.50023,,FS205,Free State,NA
Katleho Hospital,District Hospital,FS,DC18,9999-12-31,1994-01-01,-28.11057,26.85798,,FS184,Free State,NA
John Daniel Newberry Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-28.91009,27.57423,,FS191,Free State,NA
Itemoheng Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-28.3272,27.60552,,FS191,Free State,NA
Fezi Ngumbentombi Hospital,District Hospital,FS,DC20,9999-12-31,1994-01-01,-26.80143,27.82757,,FS204,Free State,NA
Embekweni Hospital,District Hospital,FS,DC16,9999-12-31,1994-01-01,-30.29215,27.07542,Previously Zastron Hospital,FS163,Free State,NA
Elizabeth Ross Hospital,District Hospital,FS,DC19,9999-12-31,1994-01-01,-28.58908,28.81755,,FS194,Free State,NA
Dr JS Moroka Hospital,District Hospital,FS,MAN,9999-12-31,1994-01-01,-29.20458,26.83468,,MAN_Thaba,Free State,NA
Diamond (Diamant) Hospital,District Hospital,FS,DC16,9999-12-31,1994-01-01,-29.76032,25.42315,Previously Jagersfontein Hospital,FS162,Free State,NA
Botshabelo Hospital,District Hospital,FS,MAN,9999-12-31,1994-01-01,-29.23252,26.71572,,MAN_Bot,Free State,NA
Universitas (C) Hospital,National Central Hospital,FS,MAN,9999-12-31,1994-01-01,-29.11808,26.18432,,MAN_Bloem,Free State,NA
Sasol Infrachem Hospital,Private Hospital,FS,DC20,9999-12-31,2015-04-01,NA,NA,,FS204,Free State,NA
NHN Welkom Sub-Acute Hospital,Private Hospital,FS,DC18,9999-12-31,2014-10-01,NA,NA,,FS184,Free State,NA
NHN St Helena Hospital,Private Hospital,FS,DC18,9999-12-31,1994-01-01,-28.01157,26.7101,Mine hospital,FS184,Free State,NA
NHN M-Care Pentagon Park Hospital,Private Hospital,FS,MAN,9999-12-31,2014-10-01,NA,NA,,MAN_Bloem,Free State,NA
NHN M-Care Optima Psychiatric Hospital,Private Hospital,FS,MAN,9999-12-31,2014-10-01,NA,NA,,MAN_Bloem,Free State,NA
NHN M-Care Optima (Bloempsych),Private Hospital,FS,MAN,9999-12-31,2015-04-01,NA,NA,,MAN_Bloem,Free State,NA
NHN Hillandale Health Care Centre Hospital,Private Hospital,FS,MAN,9999-12-31,2015-04-01,NA,NA,,MAN_Bloem,Free State,NA
NHN Ernest Oppenheimer Hospital,Private Hospital,FS,DC18,9999-12-31,2016-01-01,-27.96686,26.77408,"Mine hospital closed in 2013-14, but Harmony Gold is negotiating with DoH to take it over. Opening data is tentative.",FS184,Free State,NA
NHN Corona Hospital,Private Hospital,FS,DC19,9999-12-31,2015-04-01,NA,NA,,FS192,Free State,NA
NHN CareCure Victoria Gardens Hospital,Private Hospital,FS,MAN,9999-12-31,2015-04-01,NA,NA,,MAN_Bloem,Free State,NA
Netcare Vaalpark Hospital,Private Hospital,FS,DC20,9999-12-31,1994-01-01,-26.77323,27.83981,,FS204,Free State,NA
Netcare Pelonomi Private Hospital,Private Hospital,FS,MAN,9999-12-31,2015-04-01,NA,NA,,MAN_Bloem,Free State,NA
Netcare Kroon Hospital,Private Hospital,FS,DC20,9999-12-31,1994-01-01,-27.6537,27.2303,,FS201,Free State,NA
Mediclinic Hoogland Hospital,Private Hospital,FS,DC19,9999-12-31,1994-01-01,-28.2232,28.33596,,FS192,Free State,NA
Mediclinic Bloemfontein Hospital,Private Hospital,FS,MAN,9999-12-31,2004-07-01,-29.10588,26.20971,Previously Hydromed Hospital (Bloemfontein),MAN_Bloem,Free State,NA
Life Rosepark Hospital,Private Hospital,FS,MAN,9999-12-31,1994-01-01,-29.14808,26.17921,,MAN_Bloem,Free State,NA
Life Hospital Park Hospital,Private Hospital,FS,MAN,9999-12-31,1994-01-01,-29.0961,26.19797,,MAN_Bloem,Free State,NA
Cairnhall Hospital,Private Hospital,FS,MAN,9999-12-31,1994-01-01,-29.11673,26.18748,,MAN_Bloem,Free State,NA
Busamed Harrismith Private Hospital,Private Hospital,FS,DC19,9999-12-31,2017-03-01,NA,NA,,FS194,Free State,NA
Bloemcare Psychiatric Hospital,Private Hospital,FS,MAN,9999-12-31,2014-10-01,-29.0864,26.15653,,MAN_Bloem,Free State,NA
Pelonomi Hospital,Provincial Tertiary Hospital,FS,MAN,9999-12-31,1994-01-01,-29.14138,26.24572,,MAN_Bloem,Free State,NA
Mofumahadi Manapo Mopeli Hospital,Regional Hospital,FS,DC19,9999-12-31,1994-01-01,-28.53707,28.80507,Alias Manapo Hospital,FS194,Free State,NA
Dihlabeng Hospital,Regional Hospital,FS,DC19,9999-12-31,1994-01-01,-28.23317,28.3197,,FS192,Free State,NA
Bongani Hospital,Regional Hospital,FS,DC18,9999-12-31,1994-01-01,-27.95315,26.7862,,FS184,Free State,NA
Boitumelo Hospital,Regional Hospital,FS,DC20,9999-12-31,2000-04-01,-27.64253,27.21355,,FS201,Free State,NA
Free State Psychiatric Complex Hospital,Specialised Psychiatric Hospital,FS,MAN,9999-12-31,1994-01-01,-29.13386,26.20927,Merger of Oranje ( C ) and Oranje (P),MAN_Bloem,Free State,NA
Santoord TB Hospital,Specialised TB Hospital,FS,MAN,9999-12-31,1994-01-01,-29.22,26.85,,MAN_Bloem,Free State,NA
Kopano MDR Hospital,Specialised TB Hospital,FS,DC18,9999-12-31,2015-01-01,NA,NA,,FS184,Free State,NA
Tshwane District Hospital,District Hospital,GP,TSH,9999-12-31,2006-04-01,-25.73271,28.20256,,TSH_3,Gauteng,NA
South Rand Hospital,District Hospital,GP,JHB,9999-12-31,2001-04-01,-26.25297,28.06211,,JHB_F,Gauteng,NA
Pretoria West Hospital,District Hospital,GP,TSH,9999-12-31,2001-04-01,-25.73654,28.13962,,TSH_3,Gauteng,NA
Odi Hospital,District Hospital,GP,TSH,9999-12-31,2000-04-01,-25.5184,28.02248,,TSH_1,Gauteng,NA
Kopanong Hospital,District Hospital,GP,DC42,9999-12-31,2001-04-01,-26.63793,27.93328,,GT421,Gauteng,NA
Jubilee Hospital,District Hospital,GP,TSH,9999-12-31,2000-01-01,-25.40306,28.26582,,TSH_2,Gauteng,NA
Jabulani Hospital,District Hospital,GP,JHB,9999-12-31,2013-04-01,-26.25087,27.85695,,JHB_D,Gauteng,NA
Heidelberg Hospital,District Hospital,GP,DC42,9999-12-31,2001-04-01,-26.50364,28.35131,,GT423,Gauteng,NA
Dr Yusuf Dadoo Hospital,District Hospital,GP,DC48,9999-12-31,2000-01-01,-26.09965,27.78386,,GT481,Gauteng,NA
Carletonville Hospital,District Hospital,GP,DC48,9999-12-31,2001-04-01,-26.34704,27.39446,,GT484,Gauteng,NA
Bronkhorstspruit Hospital,District Hospital,GP,TSH,9999-12-31,2003-09-01,-25.80339,28.71689,,TSH_7,Gauteng,NA
Bheki Mlangeni District Hospital,District Hospital,GP,JHB,9999-12-31,2014-04-01,-26.24852,27.85452,Renamed from gp Zola Jabulani Hospital,JHB_D,Gauteng,NA
Bertha Gxowa Hospital,District Hospital,GP,EKU,9999-12-31,2000-07-01,-26.21979,28.16305,,EKU_S1,Gauteng,NA
Steve Biko Academic Hospital,National Central Hospital,GP,TSH,9999-12-31,2001-04-01,-25.72951,28.20256,,TSH_3,Gauteng,NA
Dr George Mukhari Hospital,National Central Hospital,GP,TSH,9999-12-31,2001-04-01,-25.61904,28.01216,,TSH_1,Gauteng,NA
Chris Hani Baragwanath Hospital,National Central Hospital,GP,JHB,9999-12-31,2001-04-01,-26.26009,27.93799,,JHB_D,Gauteng,NA
Charlotte Maxeke Hospital,National Central Hospital,GP,JHB,9999-12-31,2001-04-01,-26.17409,28.04691,,JHB_F,Gauteng,NA
Zuid Afrikaans Hospital,Private Hospital,GP,TSH,9999-12-31,2000-04-01,-25.76201,28.20571,,TSH_3,Gauteng,NA
Witpoort Hospital,Private Hospital,GP,EKU,9999-12-31,2000-01-01,-26.26552,28.3814,,EKU_E2,Gauteng,NA
Waverly Hospital,Private Hospital,GP,EKU,9999-12-31,2000-01-01,-26.19395,28.19517,,EKU_S1,Gauteng,NA
Pretoria Urology Hospital,Private Hospital,GP,TSH,9999-12-31,2000-04-01,-25.74409,28.23775,,TSH_3,Gauteng,NA
Pretoria Eye Institute Hospital,Private Hospital,GP,TSH,9999-12-31,2000-04-01,-25.74742,28.21113,,TSH_3,Gauteng,NA
Phelang Private Hospital,Private Hospital,GP,TSH,9999-12-31,2014-01-01,NA,NA,,TSH_6,Gauteng,NA
Optiklin Eye Hospital,Private Hospital,GP,EKU,9999-12-31,2000-04-01,-26.1785,28.28709,,EKU_E1,Gauteng,NA
NHN Vista Hospital,Private Hospital,GP,TSH,9999-12-31,1994-01-01,-25.84395,28.19321,,TSH_4,Gauteng,NA
NHN Urolocare Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_3,Gauteng,NA
NHN Northcliff Medwedge Sub-Acute Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,JHB_B,Gauteng,NA
NHN Lenmed Health Daxina Hospital,Private Hospital,GP,JHB,9999-12-31,2014-01-01,NA,NA,,JHB_G,Gauteng,NA
NHN Lenmed Health Ahmed Katrada Private Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.328,27.86333,,JHB_G,Gauteng,NA
NHN Lenmed Daxina Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,,Gauteng,NA
NHN Lakeview Hospital,Private Hospital,GP,EKU,9999-12-31,2015-04-01,NA,NA,,EKU_N2,Gauteng,NA
NHN Johannesburg Eye Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,JHB_B,Gauteng,NA
NHN Intercare Sandton Day Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,JHB_E,Gauteng,NA
NHN Intercare Irene Sub-Acute Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_4,Gauteng,NA
NHN Intercare Irene Day Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_4,Gauteng,NA
NHN Intercare Hazeldean Sub-Acute Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_6,Gauteng,NA
NHN Intercare Hazeldean Day Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_6,Gauteng,NA
NHN Centurion Eye Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_4,Gauteng,NA
NHN Care Cure Vereeniging Hospital,Private Hospital,GP,DC42,9999-12-31,1994-01-01,NA,NA,,GT421,Gauteng,NA
NHN Care Cure Rynmed Hospital,Private Hospital,GP,EKU,9999-12-31,2014-10-01,NA,NA,,EKU_N2,Gauteng,NA
