admin1_name,admin2_name,admin3_name,fac_id,fac_name,date_opened,date_closed,coordinates,long,lat,contactperson,address,org_owner,org_rural_urban,type,admin1_abb
Eastern Cape,A Nzo,Matatiele,tQ0qQFFAWaT,Matatiele EMS Station,2006-10-01,NA,"[28.82022,-30.34806]",28.82022,-30.348,NA,"Main Street, Matatiele, Private Bag X836",Gov Province,Urban,EMS Station,EC
Eastern Cape,A Nzo,Matatiele,nTQw1mgxudz,Matatiele Local Municipality - LG EHS,2000-01-01,NA,NA,NA,NA,NA,NA,Gov Municipality,Rural,EHS LG Service,EC
Eastern Cape,A Nzo,Matatiele,BKvCfEsKGiB,Matatiele Mobile 1,1994-01-01,NA,"[28.82437,-30.35704]",28.82437,-30.357,NA,NA,Gov Province,Urban,Mobile Service,EC
Eastern Cape,A Nzo,Matatiele,gz76fh6VToC,Matatiele Mobile 2,1994-01-01,NA,"[28.82437,-30.35704]",28.82437,-30.357,NA,NA,Gov Province,Urban,Mobile Service,EC
Eastern Cape,A Nzo,Matatiele,d7uehk9z9KJ,Matatiele sub-District Office,2016-01-01,NA,NA,NA,NA,NA,NA,Gov Municipality,Urban,Health sub-District Office,EC
Eastern Cape,A Nzo,Matatiele,O6qKTvlbhlB,Mount Hargreaves Clinic,1994-01-01,NA,"[28.70661,-30.40608]",28.70661,-30.406,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,pTM1AH6yQIF,Mpharane Clinic,2009-01-01,NA,"[28.47763,-30.2639]",28.47763,-30.2639,NA,Mpharane,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,u5k9EYLWzfw,Mvenyane Clinic,1994-01-01,NA,"[29.03634,-30.55252]",29.03634,-30.5525,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,tQmAF6UmEIG,Mzongwana Clinic,2000-03-01,NA,"[29.05207,-30.16773]",29.05207,-30.1677,NA,Mzongwana,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,lcNJFvJA2q3,NHLS Maluti Laboratory,2010-01-01,NA,"[28.7805,-30.256]",28.7805,-30.256,NA,"Maluti CHC, Maluti, 4740",Gov NHLS,Rural,Laboratory,EC
Eastern Cape,A Nzo,Matatiele,j8vedvFqtv8,NHLS Taylor Bequest (Matatiele) Laboratory,2010-01-01,NA,"[28.5092,-30.6888]",28.5092,-30.6888,NA,"Taylor Bequest Hospital (Matatiele), Matatiele, 4730",Gov NHLS,Urban,Laboratory,EC
Eastern Cape,A Nzo,Matatiele,qU1sFly6X6S,NHN Matatiele Private Hospital,2014-10-01,NA,"[28.808675,-30.35226]",28.808675,-30.3522,NA,High Street,Private,Urban,Private Hospital,EC
Eastern Cape,A Nzo,Matatiele,TBN3kN9Wfhz,Ntlola Clinic,1994-01-01,NA,"[29.07986,-30.59793]",29.07986,-30.5979,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,BBiLAF6sVdU,Nyaniso Clinic,1994-01-01,NA,"[28.733564,-30.558848]",28.733564,-30.5588,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,oGk3mZqgwhs,Paballong Clinic,1994-01-01,NA,"[28.50627,-30.42056]",28.50627,-30.4205,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,ARkaNiSAbQP,Qasha's neck (Lesotho) Port Health,1994-01-01,2017-03-31,"[28.68396,-30.132377]",28.68396,-30.1323,NA,NA,Gov Province,Rural,EHS Port Health Service,EC
Eastern Cape,A Nzo,Matatiele,TP1gn4XuNxb,Queen's Mercy Clinic,1994-01-01,NA,"[28.56883,-30.25448]",28.56883,-30.2544,NA,Queens Merry,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,M7mRFRuczrS,Rolweni Clinic,1994-01-01,NA,"[28.81228,-30.55937]",28.81228,-30.5593,NA,Rolweni,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,HuqkxKABTGt,Shepherds Hope Clinic,1994-01-01,NA,"[28.59292,-30.34686]",28.59292,-30.346800000000002,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,xm05xGrzJHU,Tayler Bequest Gateway Clinic (Matatiele),2003-03-01,2010-10-31,"[28.82105,-30.34736]",28.82105,-30.3473,NA,"Matatiele, 4730",Gov Province,Urban,Clinic,EC
Eastern Cape,A Nzo,Matatiele,nIqnOYCQlPH,Tayler Bequest Hospital (Matatiele),1994-01-01,NA,"[28.80195,-30.33275]",28.80195,-30.3327,NA,"Matatiele, 4730",Gov Province,Urban,District Hospital,EC
Eastern Cape,A Nzo,Matatiele,aorGZcmYoZ3,Thabachicha Clinic,1994-01-01,NA,"[28.39098,-30.36311]",28.39098,-30.3631,NA,Thabachicha,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,P6FgI55e6Mb,Umtumase Clinic,1994-01-01,NA,"[28.543328,-30.565171]",28.543328,-30.5651,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,uy9g8bzUB8M,Amadiba Clinic,1994-01-01,NA,"[30.179245,-31.073189]",30.179245,-31.0731,NA,Umgungundlovu A/A,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,XSA3inefk7U,Amandengane Clinic,1994-01-01,NA,"[29.75053,-31.08611]",29.75053,-31.0861,NA,Chithwayo,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,ng0SukVAgK0,Amantshangase Clinic,1994-01-01,NA,"[29.58773,-30.83966]",29.58773,-30.8396,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,bFcMAdjBNvN,Baleni Clinic,1994-01-01,NA,"[29.97147,-31.15916]",29.97147,-31.1591,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,hQvjuba34fb,Bizana Correctional Centre,2008-01-01,NA,"[29.84993,-30.856371]",29.84993,-30.8563,NA,NA,Gov DCS,Urban,Correctional Centre,EC
Eastern Cape,A Nzo,Mbizana,DTKK1iJks6Y,Bizana EMS Station,2006-10-01,NA,"[29.854648,-30.862189]",29.854648,-30.8621,NA,NA,Gov Province,Urban,EMS Station,EC
Eastern Cape,A Nzo,Mbizana,GcRsZ2SRP6X,Daliwonga Clinic,1994-01-01,NA,"[29.9072,-31.10528]",29.9072,-31.1052,NA,Kwa Mpisi,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,sUYlVvYFow0,Greenville Gateway Clinic,1999-01-01,NA,"[30.09949,-30.919]",30.09949,-30.919,NA,Etyeni Administrative Area,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,GsFkff7Cr2x,Greenville Hospital,1994-01-01,NA,"[30.108882,-30.931637]",30.108882,-30.9316,NA,Emijolini,Gov Province,Rural,District Hospital,EC
Eastern Cape,A Nzo,Mbizana,rEQENFExPwM,Greenville Mobile 1,1999-01-01,NA,"[30.10896,-30.92992]",30.10896,-30.9299,NA,NA,Gov Province,Rural,Mobile Service,EC
Eastern Cape,A Nzo,Mbizana,ZW1S7E4vFRN,Hlamandana Clinic,1994-01-01,NA,"[29.720125,-30.817624]",29.720125,-30.8176,NA,"Ludeka Mission, Next To Methodist Church",Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,HiauT462r0v,Imizizi Clinic,1994-01-01,NA,"[29.97082,-30.9089]",29.97082,-30.9089,NA,"Imizizi A/A, Redoubt",Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,fWgZZdp6fdQ,Isikelo Clinic,1994-01-01,NA,"[29.76793,-30.78666]",29.76793,-30.7866,NA,"Isikelo Clinic, Mbobeni A/A, Bizana",Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,Xu3cMXVMw4U,Kanyayo (Bizana) Clinic,1994-01-01,NA,"[29.8004,-31.07929]",29.8004,-31.0792,NA,Kanyayo,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,GC20BtM2L0l,Makwantini Clinic,1994-01-01,NA,"[29.99033,-31.10597]",29.99033,-31.1059,NA,Amadiba A/A,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,DupIru1GzWi,Malongwana Clinic,2006-03-01,NA,"[29.36362,-31.00816]",29.36362,-31.0081,NA,Amalongwana,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,fs4lpOnspgM,Mbizana Local Municipality - LG EHS,2000-01-01,NA,NA,NA,NA,NA,NA,Gov Municipality,Rural,EHS LG Service,EC
Eastern Cape,A Nzo,Mbizana,LjIpE9oXzIX,Meje Clinic,1994-01-01,NA,"[29.8747,-31.05028]",29.8747,-31.0502,NA,Mbhongweni,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,BbWhnkowEP5,Mfundambini Clinic,1994-01-01,NA,"[29.666544,-30.899384]",29.666544,-30.8993,NA,"Nqadeni, Flagstaff",Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,hJ2erT8ZIkj,Mngungu Clinic,2008-12-01,NA,"[30.03207,-31.056293]",30.03207,-31.0562,NA,Mngungu Location,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,iiQCc6Gd9dZ,Mpetsheni Clinic,1994-01-01,NA,"[29.80192,-30.99555]",29.80192,-30.9955,NA,Mpetsheni Clinic,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,F71ZYBj3ar0,Mzamba EMS Station,1999-01-01,NA,"[30.183295,-31.078122]",30.183295,-31.0781,NA,NA,Gov Province,Rural,EMS Station,EC
Eastern Cape,A Nzo,Mbizana,K1pfMb7iNSy,Ndela Clinic,2005-12-01,NA,"[29.713473,-30.947927]",29.713473,-30.9479,NA,"Ndela Location, Bizana",Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,xXtPNHqJgko,NHLS Greenville Laboratory,2010-01-01,NA,"[29.838,-30.8509]",29.838,-30.8509,NA,"Greenville Hospital, Bizana, 4800",Gov NHLS,Rural,Laboratory,EC
Eastern Cape,A Nzo,Mbizana,vhHrDEe36X5,NHLS St Patrick's Laboratory,2010-01-01,NA,"[29.8545,-30.8636]",29.8545,-30.8636,NA,"St Patrick's Hospital, Bizana, 4800",Gov NHLS,Urban,Laboratory,EC
Eastern Cape,A Nzo,Mbizana,PEDKzeeoSM2,Ntlenzi Clinic,1994-01-01,NA,"[29.612515,-30.950824]",29.612515,-30.9508,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,CQzlDQcksTZ,Qasa Clinic,1994-01-01,NA,"[29.41773,-31.02687]",29.41773,-31.0268,NA,Qasa,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,eihOqDlwkOY,Qobo Clinic,2000-07-01,NA,"[29.705825,-30.734965]",29.705825,-30.7349,NA,Silongwe,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Mbizana,SQNMgqGjmFD,St Patrick's Gateway Clinic,1999-01-01,NA,"[29.85164,-30.86537]",29.85164,-30.8653,NA,"Hospital Road, Bizana, 4800",Gov Province,Urban,Clinic,EC
Eastern Cape,A Nzo,Mbizana,Y13hxdklxN9,St Patrick's Hospital,1994-01-01,NA,"[29.85162,-30.86541]",29.85162,-30.8654,NA,152 Hope Street,Gov Province,Urban,District Hospital,EC
Eastern Cape,A Nzo,Mbizana,HHww4dYKBJq,St Patrick's Mobile 1,1999-01-01,NA,"[29.85164,-30.86537]",29.85164,-30.8653,NA,NA,Gov Province,Rural,Mobile Service,EC
Eastern Cape,A Nzo,Mbizana,OpE5RBE2TzU,Tsawana Clinic,1994-01-01,NA,"[29.91565,-30.80702]",29.91565,-30.807,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,dh9Dziu05bf,Dungu Clinic,2001-03-01,NA,"[29.30276,-30.95698]",29.30276,-30.9569,NA,"Dungu Clinic, Tabankulu",Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,NrIWwuwepY5,Matubeni Clinic,1994-01-01,NA,"[29.16105,-30.96514]",29.16105,-30.9651,NA,Mthukukazi A/A,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,SJORcX1vrLK,Mfundisweni Clinic,1994-01-01,NA,"[29.51997,-30.8983]",29.51997,-30.8983,NA,Magqagqeni,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,i1nbQqDrd41,Mnceba Clinic,1994-01-01,NA,"[29.21214,-30.89475]",29.21214,-30.8947,NA,Mnceba,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,QfQCFRLv7X9,Ndawenzima Clinic,2001-06-01,NA,"[29.361821,-30.909595]",29.361821,-30.9095,NA,Hlankomo,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,CIPoYxTkeH0,NHLS Sipetu Laboratory,2010-01-01,NA,"[28.977041,-30.896535]",28.977041,-30.8965,NA,Sipetu Hospital,Gov NHLS,Rural,Laboratory,EC
Eastern Cape,A Nzo,Ntabankulu,XAjFj1DnFLp,Ntabankulu Local Municipality - LG EHS,2000-01-01,NA,NA,NA,NA,NA,NA,Gov Municipality,Rural,EHS LG Service,EC
Eastern Cape,A Nzo,Ntabankulu,Yv4WMVgwPJW,Ntshentshe Clinic,2008-07-01,NA,"[29.53514,-30.70761]",29.53514,-30.7076,NA,Ntshentshe,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,qbpIDcoyVvX,Qaqa Clinic,2000-01-01,NA,"[29.2179,-31.02046]",29.2179,-31.0204,NA,Bomvini,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,MOJgh3f1mgS,Sebeni Clinic,2014-08-01,NA,"[29.18,-31.16]",29.18,-31.16,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,O81iJ5FuNak,Sigidi Clinic,1994-01-01,NA,"[29.351461,-30.942429]",29.351461,-30.9424,NA,Mbangweni A/A,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,mmVrDg6rH8a,Sipetu EMS Station,2008-01-01,NA,"[29.18,-31.09]",29.18,-31.09,NA,NA,Gov Province,Rural,EMS Station,EC
Eastern Cape,A Nzo,Ntabankulu,xUMW7q6DVRB,Sipetu Gateway Clinic,1994-01-01,2018-02-28,"[29.18725,-31.09178]",29.18725,-31.0917,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Ntabankulu,DTXC7TUcA4H,Sipetu Hospital,1994-01-01,NA,"[29.18731,-31.09178]",29.18731,-31.0917,NA,Isilimdini A/A,Gov Province,Rural,District Hospital,EC
Eastern Cape,A Nzo,Ntabankulu,O2U4MfLOJGa,Sipetu Mobile 1,1994-01-01,2016-04-30,"[29.18725,-31.09178]",29.18725,-31.0917,NA,NA,Gov Province,Rural,Mobile Service,EC
Eastern Cape,A Nzo,Ntabankulu,DcWkC8eUF7X,Tabankulu CHC,1994-01-01,NA,"[29.29951,-30.96339]",29.29951,-30.9633,NA,"Nompukane Street, Erf 86, Ntabankulu",Gov Province,Peri-Urban,Community Health Centre,EC
Eastern Cape,A Nzo,Ntabankulu,x9TRoaztpmf,Tabankulu Correctional Centre,2010-01-01,NA,"[29.2988,-30.95823]",29.2988,-30.9582,NA,NA,Gov DCS,Peri-Urban,Correctional Centre,EC
Eastern Cape,A Nzo,Ntabankulu,DlQ8xBi97yF,Tabankulu EMS Station,2006-10-01,NA,"[29.29,-30.96]",29.29,-30.96,NA,NA,Gov Province,Peri-Urban,EMS Station,EC
Eastern Cape,A Nzo,Ntabankulu,NdJ8dVWQuQy,Tabankulu Mobile 1,2003-07-01,NA,"[29.29951,-30.96339]",29.29951,-30.9633,NA,NA,Gov Province,Peri-Urban,Mobile Service,EC
Eastern Cape,A Nzo,Ntabankulu,QWF2anOUskD,Zulu Clinic,1994-01-01,NA,"[29.30279,-30.98359]",29.30279,-30.9835,NA,3 The Avenue,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,QsEfrrBhr2o,Alfred Nzo District EHP,2018-08-01,NA,NA,NA,NA,National Dept of Health,"222 Thabo Sehume St, CBD, Pretoria, 0001",Gov National,Urban,Environmental Health Service,EC
Eastern Cape,A Nzo,Umzimvubu,IULPdKpaYFh,Alfred Nzo District Office,2016-01-01,NA,NA,NA,NA,NA,NA,Gov Province,Urban,Health District Office,EC
Eastern Cape,A Nzo,Umzimvubu,bbPF4QHMI8C,Cancele Clinic,1994-01-01,NA,"[28.78897,-30.84798]",28.78897,-30.8479,NA,Cancele,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,QlqORa0AVOk,Dr J Fourie General Practitioner,1998-03-01,2010-03-31,NA,NA,NA,NA,NA,Private,Rural,General Practitioner,EC
Eastern Cape,A Nzo,Umzimvubu,P10Y8wKGNBh,Dundee Clinic,1994-01-01,NA,"[29.4183,-30.74891]",29.4183,-30.7489,NA,Dundee,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,YaKmWdfxlqr,Lubaleko Clinic,1994-01-01,NA,"[29.36698,-30.69499]",29.36698,-30.6949,NA,Lubaleko Location,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,KsP90Lm3AO9,Lugangeni Clinic,1994-01-01,NA,"[28.93437,-30.8333]",28.93437,-30.8333,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,mnDkQ8dTh6n,Luyengweni Clinic,1994-01-01,NA,"[28.76937,-30.65285]",28.76937,-30.6528,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,QX9xY2rJQmV,Machibini Clinic (Kwabhaca),1994-01-01,NA,"[28.71708,-30.72679]",28.71708,-30.7267,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,QpgSqUqgxhI,Madzikane kaZulu Memorial Hospital,1994-01-01,NA,"[28.99562,-30.90092]",28.99562,-30.9009,NA,"N2 Road, Mount Frere, 9002",Gov Province,Urban,District Hospital,EC
Eastern Cape,A Nzo,Umzimvubu,dBAdB2IuSJi,Mahlungulu Non-Medical Site,2010-04-01,NA,NA,NA,NA,NA,NA,Not-for-profit,Peri-Urban,Specialised Centre,EC
Eastern Cape,A Nzo,Umzimvubu,vQ1hPJNj7EG,Mangqamzeni Clinic,1994-01-01,NA,"[29.07859,-30.9934]",29.07859,-30.9934,NA,Mkhonyo,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,qdJpkSp8dFl,Mapheleni Clinic,2001-12-01,NA,"[29.25385,-30.78445]",29.25385,-30.7844,NA,Mt Ayliff,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,HvJytu0CVR3,Mary Teresa Mobile 1,1994-01-01,NA,"[28.99563,-30.90093]",28.99563,-30.9009,NA,NA,Gov Province,Rural,Mobile Service,EC
Eastern Cape,A Nzo,Umzimvubu,fevOj5vAwer,Mhlotsheni Clinic,1994-01-01,NA,"[29.09093,-30.80276]",29.09093,-30.8027,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,HwUnAYKglfn,Mkemane Clinic,1994-01-01,NA,"[29.01856,-30.66807]",29.01856,-30.668,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,TkVde86cZPK,Mntwana Clinic,1994-01-01,NA,"[28.9237,-30.97671]",28.9237,-30.9767,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,SzgerHWD5BQ,Mount Ayliff Correctional Centre,2017-03-01,NA,"[29.370144,-30.81223]",29.370144,-30.8122,NA,NA,Gov DCS,Urban,Correctional Centre,EC
Eastern Cape,A Nzo,Umzimvubu,O4vm2qyN7OV,Mount Ayliff EMS Station,2006-10-01,NA,"[29.37102,-30.79771]",29.37102,-30.7977,NA,NA,Gov Province,Urban,EMS Station,EC
Eastern Cape,A Nzo,Umzimvubu,RzdMvrSwHpg,Mount Ayliff Gateway Clinic,1994-01-01,NA,"[29.35965,-30.80517]",29.35965,-30.8051,NA,NA,Gov Province,Urban,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,aT3ziE6st3W,Mount Ayliff Hospital,1994-01-01,NA,"[29.3596,-30.80522]",29.3596,-30.8052,NA,"8 Ntsizwa Street, Mt Ayliff",Gov Province,Urban,District Hospital,EC
Eastern Cape,A Nzo,Umzimvubu,y0cE3sOIaWU,Mount Ayliff Mobile 1,1994-01-01,NA,"[29.3596,-30.80527]",29.3596,-30.8052,NA,NA,Gov Province,Rural,Mobile Service,EC
Eastern Cape,A Nzo,Umzimvubu,P5tEKIbLdvV,Mount Frere Correctional Centre,2017-03-01,NA,"[29.00848,-30.90231]",29.00848,-30.9023,NA,NA,Gov DCS,Urban,Correctional Centre,EC
Eastern Cape,A Nzo,Umzimvubu,AsNEDN8mbYM,Mount Frere EMS Station,1994-01-01,NA,"[28.99,-30.9]",28.99,-30.9,NA,NA,Gov Province,Urban,EMS Station,EC
Eastern Cape,A Nzo,Umzimvubu,dk64SAIHfEH,Mount Frere Gateway Clinic,1994-01-01,NA,"[28.99564,-30.90091]",28.99564,-30.9009,NA,Mary Teressa Street,Gov Province,Urban,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,fb8fFnXzumv,Mpoza Clinic (Mount Frere),1994-01-01,NA,"[29.06932,-30.73186]",29.06932,-30.7318,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,mgtLLyCsVXO,Mwaca Clinic,1994-01-01,NA,"[29.23817,-30.63993]",29.23817,-30.6399,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,tJjoLItEbBb,NHLS Madzikane kaZulu Memorial Laboratory,2010-01-01,NA,"[29.0043,-30.8817]",29.0043,-30.8817,NA,"Madzikane kaZulu Memorial Hospital, Mount Frere, 5090",Gov NHLS,Urban,Laboratory,EC
Eastern Cape,A Nzo,Umzimvubu,Xnxf4gAhFWW,NHLS Mount Ayliff Laboratory,2010-01-01,NA,"[29.3704,-30.7967]",29.3704,-30.7967,NA,"Mount Ayliff Hospital, Mount Ayliff, 4735",Gov NHLS,Urban,Laboratory,EC
Eastern Cape,A Nzo,Umzimvubu,FSKuUZMonkp,Ntlabeni Clinic,1994-01-01,NA,"[28.92245,-30.74223]",28.92245,-30.7422,NA,Ntlabeni Location,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,GImNaPhPomK,Ntsizwa Clinic,1994-01-01,NA,"[29.24517,-30.73816]",29.24517,-30.7381,NA,Ntsizwa,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,WtLNlqNjsyz,Qwidlana Clinic,2007-10-01,NA,"[28.708077,-30.798819]",28.708077,-30.7988,NA,Qwidlana,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,id6wnwEjE9B,Rode Clinic,1994-01-01,NA,"[29.13832,-30.82579]",29.13832,-30.8257,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,ZureLoudob3,Tela Clinic,1994-01-01,NA,"[29.45606,-30.75905]",29.45606,-30.759,NA,Tela,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,cMyMIgfOLqk,Tshungwana Clinic,1994-01-01,NA,"[29.02733,-30.97762]",29.02733,-30.9776,NA,Tshugwana,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Umzimvubu,zAEsLvb63ud,Umzimvubu Health sub-District - Prov EHS,1994-01-01,NA,NA,NA,NA,NA,NA,Gov Province,Rural,EHS Prov Service,EC
