admin1_abb,admin2_abb,admin2_name,type,fac_name,admin1_name
EC,BUF,Buffalo City,Clinic,John Dube Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Kwelera Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Luyolo NU 9 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Masakhane Clinic (Zwelitsha),Eastern Cape
EC,BUF,Buffalo City,Clinic,Masiphile Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Mdingi Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Mkanyisi Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Mncotsho Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Moore Street Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Mpongo Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Ncera Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Ndevana Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Needs Camp Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Newlands Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Nobuhle NU 8 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Noncampa Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,NU 12 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,NU 13 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,NU 16 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,NU 17 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Openshaw Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Pakamisa Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Peelton Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Pefferville Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Petros Jobane Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Philani NU 1 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Pirie Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Potsdam Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Qurhu Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Shornville Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Sinebhongo Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,St Thomas Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Sweetwaters Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Tembisa NU 7 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Thembalethu Clinic (Buffalo City),Eastern Cape
EC,BUF,Buffalo City,Clinic,Tshabo Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Tshatshu Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Tyamzashe FP Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Tyutyu Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Welcomewood Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Zanempilo Clinic (East London),Eastern Cape
EC,BUF,Buffalo City,Clinic,Zanempilo Clinic (Zwelitsha),Eastern Cape
EC,BUF,Buffalo City,Clinic,Zikhova Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Zingisa NU 5 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Zwelitsha Zone 5 Clinic,Eastern Cape
EC,BUF,Buffalo City,Community Health Centre,Dimbaza CHC,Eastern Cape
EC,BUF,Buffalo City,Community Health Centre,Duncan Village CHC,Eastern Cape
EC,BUF,Buffalo City,Community Health Centre,Empilweni Gompo CHC,Eastern Cape
EC,BUF,Buffalo City,Community Health Centre,Mount Coke CHC,Eastern Cape
EC,BUF,Buffalo City,Community Health Centre,Nontyatyambo CHC,Eastern Cape
EC,BUF,Buffalo City,Correctional Centre,East London Correctional Centre,Eastern Cape
EC,BUF,Buffalo City,Correctional Centre,King William's Town Correctional Centre,Eastern Cape
EC,BUF,Buffalo City,Correctional Centre,Mdantsane Correctional Centre,Eastern Cape
EC,BUF,Buffalo City,Crisis Centre,Thuthuzela Crisis Centre,Eastern Cape
EC,BUF,Buffalo City,District Hospital,Bhisho Hospital,Eastern Cape
EC,BUF,Buffalo City,District Hospital,Grey Hospital,Eastern Cape
EC,BUF,Buffalo City,EHS LG Service,Buffalo City Local Municipality - LG EHS,Eastern Cape
EC,BUF,Buffalo City,EHS Port Health Service,East London Harbour Port Health,Eastern Cape
EC,BUF,Buffalo City,EHS Prov Service,Buffalo City Health sub-District - Prov EHS,Eastern Cape
EC,BUF,Buffalo City,EMS Station,East London EMS Station,Eastern Cape
EC,BUF,Buffalo City,EMS Station,Grey EMS Station,Eastern Cape
EC,BUF,Buffalo City,EMS Station,Mdantsane EMS Station,Eastern Cape
EC,BUF,Buffalo City,Medical Centre,NHN Intercare Gonubie Medical Centre,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Amalinda Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Amatola North Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,East London Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,East London Mobile 2,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,East London Mobile 3,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,East London Mobile 4,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,East London Mobile 5,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,East London Trust Mobile C,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Mdantsane Comprehensive Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Mount Coke Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Noncampa Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Reeston Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Siyathemba Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Tyutyu Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Mobile Service,Westbank Mobile 1,Eastern Cape
EC,BUF,Buffalo City,Non-medical Site,ATTIC East London Non-Medical Site,Eastern Cape
EC,BUF,Buffalo City,Non-medical Site,Catholic Medical Mission Board Non-medical Site,Eastern Cape
EC,BUF,Buffalo City,Non-medical Site,Lifeline East London Non-Medical Site,Eastern Cape
EC,BUF,Buffalo City,Non-medical Site,Lifeline King Williams Town Non-Medical Site,Eastern Cape
EC,BUF,Buffalo City,Non-medical Site,Society for Family Health - New Start Non-Medical Site,Eastern Cape
EC,BUF,Buffalo City,Non-medical Site,Sophumelela Centre Non-medical Site,Eastern Cape
EC,BUF,Buffalo City,Non-medical Site,University of Fort Hare Non-medical Site,Eastern Cape
EC,BUF,Buffalo City,Pharmacy,Clicks Beacon Bay Pharmacy,Eastern Cape
EC,BUF,Buffalo City,Pharmacy,Clicks Gonubie Pharmacy,Eastern Cape
EC,BUF,Buffalo City,Pharmacy,Clicks Hemingways Pharmacy,Eastern Cape
EC,BUF,Buffalo City,Pharmacy,Clicks King William's Town Pharmacy,Eastern Cape
EC,BUF,Buffalo City,Pharmacy,Clicks Oxford Street Pharmacy,Eastern Cape
EC,BUF,Buffalo City,Pharmacy/Clinic,Clicks Vincent Park Pharmacy,Eastern Cape
EC,BUF,Buffalo City,Private Clinic,Marie Stopes East London Clinic,Eastern Cape
EC,BUF,Buffalo City,Private Clinic,Medicross East London Clinic,Eastern Cape
EC,BUF,Buffalo City,Private Hospital,Life Beacon Bay Hospital,Eastern Cape
EC,BUF,Buffalo City,Private Hospital,Life East London Private Hospital,Eastern Cape
EC,BUF,Buffalo City,Private Hospital,Life St Dominic's Hospital,Eastern Cape
EC,BUF,Buffalo City,Private Hospital,Life St James Hospital,Eastern Cape
EC,BUF,Buffalo City,Private Hospital,Life St Mark's Clinic Hospital,Eastern Cape
EC,BUF,Buffalo City,Private Hospital,NHN East London Eye Hospital,Eastern Cape
EC,BUF,Buffalo City,Provincial Tertiary Hospital,Frere Hospital,Eastern Cape
EC,BUF,Buffalo City,Regional Hospital,Cecilia Makiwane Hospital,Eastern Cape
EC,BUF,Buffalo City,Satellite Clinic,Collondale Satellite Clinic,Eastern Cape
EC,BUF,Buffalo City,Satellite Clinic,Westbank Nursery School Satellite Clinic,Eastern Cape
EC,BUF,Buffalo City,Specialised Chronic Hospital,Newhaven Hospital,Eastern Cape
EC,BUF,Buffalo City,Specialised TB Hospital,Fort Grey TB Hospital,Eastern Cape
EC,BUF,Buffalo City,Specialised TB Hospital,Nkqubela Hospital,Eastern Cape
EC,DC10,S Baartman,Clinic,AD Keet Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Addo Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Aeroville Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Albany Road Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Alexandria Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Alicedale Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Andrieskraal Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Anglo African Street Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Asherville Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Bathurst Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Baviaans Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Beatrice Ngwentle Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Bergsig Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Bhongweni Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Brug Straat Clinic (Jansenville),Eastern Cape
EC,DC10,S Baartman,Clinic,Clarkson Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Gracey Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Grahamstown FP Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Horseshoe Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Humansdorp Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Imizamo Yetho Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Joza Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kareedouw Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kenton-On-Sea Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kirkwood Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Krakeel Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kroonvale Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kruisfontein Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kwa-Nonqubela Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kwa-Nonzwakazi Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kwazamukucinga Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Kwazenzele Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Loerie Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Lotusville Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Louterwater Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Lukhanyiso Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Market Square Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Marselle Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Masakhane Clinic (Aberdeen),Eastern Cape
EC,DC10,S Baartman,Clinic,Masakhane Clinic (Hankey),Eastern Cape
EC,DC10,S Baartman,Clinic,Middle Terrace Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Middle Terrace TLC Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Misgund Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Moses Mabida Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Mziwabantu Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,NG Dlukulu Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Nieu-Bethesda Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Nkwenkwezi Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Nolukhanyo Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Pal 1 Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Pal 2 Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Paterson Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Pellsrus Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Port Alfred Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Prinsvale Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Raglan Road Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Raymond Mhlaba Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Rietbron Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Sanddrif Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,St Francis Bay Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Station Hill Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Thembalesizwe Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Thornhill Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Twee Riviere Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Umasizakhe Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Union Street Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Vera Barford Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Victoria Street Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Virginia Shumane Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Vuyolwethu Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Weston Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Willowmore Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Wongalethu Clinic,Eastern Cape
EC,DC10,S Baartman,Clinic,Woodlands Clinic,Eastern Cape
EC,DC10,S Baartman,Community Health Centre,Graaff-Reinet Day Hospital,Eastern Cape
EC,DC10,S Baartman,Community Health Centre,Joubertina CHC,Eastern Cape
EC,DC10,S Baartman,Community Health Centre,Settlers Day Hospital,Eastern Cape
EC,DC10,S Baartman,Correctional Centre,Graaff-Reinet Correctional Centre,Eastern Cape
EC,DC10,S Baartman,Correctional Centre,Grahamstown Correctional Centre,Eastern Cape
EC,DC10,S Baartman,Correctional Centre,Jansenville Correctional Centre,Eastern Cape
EC,DC10,S Baartman,Correctional Centre,Kirkwood Correctional Centre,Eastern Cape
EC,DC10,S Baartman,Correctional Centre,Patensie Correctional Centre,Eastern Cape
EC,DC10,S Baartman,Correctional Centre,Somerset East Correctional Centre,Eastern Cape
EC,DC10,S Baartman,Crisis Centre,Graaff-Reinet Crisis Centre,Eastern Cape
EC,DC10,S Baartman,District Hospital,Aberdeen Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,Andries Vosloo Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,BJ Vorster (Kareedouw) Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,Humansdorp Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,Midland Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,Port Alfred Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,SAWAS Memorial (Jansenville) Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,Settlers Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,Sundays Valley (Kirkwood) Hospital,Eastern Cape
EC,DC10,S Baartman,District Hospital,Willowmore Hospital,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Baviaans Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Blue Crane Route Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Camdeboo Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Ikwezi Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Kou-Kamma Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Kouga Health Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Makana Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Ndlambe Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS LG Service,Sundays River Valley Local Municipality - LG EHS,Eastern Cape
EC,DC10,S Baartman,EHS Prov Service,Camdeboo Health sub-District - Prov EHS,Eastern Cape
EC,DC10,S Baartman,EHS Prov Service,Kouga Health sub-District - Prov EHS,Eastern Cape
EC,DC10,S Baartman,EHS Prov Service,Makana Health sub-District - Prov EHS,Eastern Cape
EC,DC10,S Baartman,EMS Station,Aberdeen EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Addo EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Alexandria EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Alicedale EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Bushmans EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Cookhouse EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Graaff-Reinet EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Grahamstown EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Humansdorp EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Jansenville EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Jeffreys Bay EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Joubertina EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Kareedouw EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Kirkwood EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Klipplaat EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Patensie EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Paterson EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Pearston EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Port Alfred EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Sanddrift EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Somerset East EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Steytlerville EMS Station,Eastern Cape
EC,DC10,S Baartman,EMS Station,Willowmore EMS Station,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Aberdeen Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Addo Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Addo Mobile 2,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Alexandria Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Alexandria Mobile 2,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Bedford Mobile 1 (Camdeboo),Eastern Cape
EC,DC10,S Baartman,Mobile Service,Camdeboo Demarcated Municipal Area South Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Graaff-Reinet Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Graaff-Reinet Mobile 2,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Grahamstown Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Grahamstown Mobile 2,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Grahamstown Mobile 3,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Jansenville Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Loerie Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Lower Tsitsikamma Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Patensie Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Paterson Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Pearston Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Port Alfred Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Port Alfred Mobile 2,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Rietbron Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Somerset East Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Somerset East Mobile 2,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Steytlerville Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Suurbron Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Tsitsikamma Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Twee Riviere Mobile 1,Eastern Cape
EC,DC10,S Baartman,Mobile Service,Willowmore Mobile 1,Eastern Cape
EC,DC10,S Baartman,Non-medical Site,Rhodes University Non-medical Site,Eastern Cape
EC,DC10,S Baartman,Occupational Health Centre,Police Academy (Graaff Reinet) Clinic,Eastern Cape
EC,DC10,S Baartman,Pharmacy,Clicks Fountains Mall Pharmacy,Eastern Cape
EC,DC10,S Baartman,Pharmacy,Clicks Graaff Reinet Pharmacy,Eastern Cape
EC,DC10,S Baartman,Pharmacy,Clicks Port Alfred Pharmacy,Eastern Cape
EC,DC10,S Baartman,Pharmacy/Clinic,Clicks Grahamstown Pharmacy,Eastern Cape
EC,DC10,S Baartman,Private Clinic,Assumption Clinic,Eastern Cape
EC,DC10,S Baartman,Private Clinic,Healthy Mom and Baby Clinic (Jeffreys),Eastern Cape
EC,DC10,S Baartman,Private Clinic,Mercy Clinic (Jeffreys Bay),Eastern Cape
EC,DC10,S Baartman,Private Hospital,Life Isivivana Hospital,Eastern Cape
EC,DC10,S Baartman,Private Hospital,Netcare Port Alfred Private Hospital,Eastern Cape
EC,DC10,S Baartman,Reproductive Centre,PPASA Youth Centre (Kirkwood),Eastern Cape
EC,DC10,S Baartman,Satellite Clinic,Aberdeen Satellite Clinic,Eastern Cape
EC,DC10,S Baartman,Satellite Clinic,Coldstream Satellite Clinic,Eastern Cape
EC,DC10,S Baartman,Satellite Clinic,Stormsriver Satellite Clinic,Eastern Cape
EC,DC10,S Baartman,Specialised Psychiatric Hospital,Fort England Hospital,Eastern Cape
EC,DC10,S Baartman,Specialised TB Hospital,Margery Parkes TB Hospital,Eastern Cape
EC,DC10,S Baartman,Specialised TB Hospital,Marjorie Parrish TB Hospital,Eastern Cape
EC,DC10,S Baartman,Specialised TB Hospital,PZ Meyer Hospital,Eastern Cape
EC,DC10,S Baartman,Specialised TB Hospital,Temba TB Hospital,Eastern Cape
EC,DC12,Amathole,Clinic,Adelaide Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Adelaide Gateway Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Amabele Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Amathole Basin Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Assina Mandla Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Badi Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Balfour Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Bedford Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Bezuidenhoutville Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Bhele Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Bolotwa Clinic (Idutywa),Eastern Cape
EC,DC12,Amathole,Clinic,Bomvana Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Burnshill Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Butterworth Gateway Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Cata Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Cathcart Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,CC Lloyd Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Cumakala 1 Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Cumakala 2 Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Cwili Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Daliwe Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Debe Nek Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Donnington Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Dr CL Bikitsha Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Ethembeni Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Fort Beaufort Gateway Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Fort Malan Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Frankfort Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Gcaleka Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Gilton Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Glenmore Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Gqunqe Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Grainvalley Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Gwabeni Clinic,Eastern Cape
EC,DC12,Amathole,Clinic,Gwadana Clinic,Eastern Cape
